run_time_s,timestamp,config,actual_rpm,avg_response_time_ms,total_cpu,total_mem,tau_ms,is_trigger
60,2026-01-04 04:20:45,57,635.0,32500.55,0.1816962810824431,1913683968.0,4600.0,1
60,2026-01-02 16:10:52,15,707.0,36662.56,0.5471889185333454,2283728896.0,4600.0,1
60,2026-01-02 23:04:56,28,635.0,25939.37,0.5623731184740717,2030030848.0,4600.0,1
60,2026-01-02 03:01:14,9,635.0,28510.45,0.5523664088778235,2612383744.0,4600.0,1
60,2026-01-02 03:33:55,10,635.0,30058.53,0.5746998960551606,2372624384.0,4600.0,1
60,2026-01-04 01:06:33,51,635.0,30017.57,0.1910432612979666,1775476736.0,4600.0,1
60,2026-01-04 04:53:29,58,635.0,28322.6,0.1678874437526513,1710673920.0,4600.0,1
60,2026-01-04 01:39:16,52,635.0,27660.63,0.1878242092930571,1576898560.0,4600.0,1
60,2026-01-04 01:39:16,52,635.0,27660.63,0.1878242092930571,1576898560.0,4600.0,1
60,2026-01-01 23:54:01,3,707.0,40396.52,0.5704685781065908,2657574912.0,4600.0,1
60,2026-01-04 04:53:29,58,635.0,28322.6,0.1678874437526513,1710673920.0,4600.0,1
60,2026-01-04 07:35:00,63,635.0,29287.57,0.1810521258470397,1888772096.0,4600.0,1
60,2026-01-02 16:36:33,16,635.0,30975.63,0.5725124109319703,1970393088.0,4600.0,1
60,2026-01-03 22:25:04,46,635.0,27662.49,0.1946173285236152,1792905216.0,4600.0,1
60,2026-01-02 03:33:55,10,635.0,30058.53,0.5746998960551606,2372624384.0,4600.0,1
60,2026-01-04 04:53:29,58,635.0,28322.6,0.1678874437526513,1710673920.0,4600.0,1
60,2026-01-03 02:19:04,34,635.0,22568.42,0.5510899454741474,1969078272.0,4600.0,1
60,2026-01-03 21:52:21,45,635.0,30013.28,0.2000744984972292,1994518528.0,4600.0,1
60,2026-01-04 10:49:15,69,635.0,27977.71,0.1763850980250055,1682821120.0,4600.0,1
60,2026-01-01 23:54:01,3,707.0,40396.52,0.5704685781065908,2657574912.0,4600.0,1
60,2026-01-03 01:46:24,33,635.0,28329.86,0.5545351333893844,2026184704.0,4600.0,1
60,2026-01-02 03:01:14,9,635.0,28510.45,0.5523664088778235,2612383744.0,4600.0,1
60,2026-01-04 10:49:15,69,635.0,27977.71,0.1763850980250055,1682821120.0,4600.0,1
60,2026-01-02 19:18:58,21,605.0,47884.01,0.5865811124672718,2362380288.0,4600.0,1
60,2026-01-03 01:28:24,33,607.0,34542.94,0.7366033229633222,2474864640.0,4600.0,1
60,2026-01-03 18:40:08,39,538.0,58022.27,0.2026359485421409,2037239808.0,4600.0,1
60,2026-01-04 00:48:33,51,606.0,34531.39,0.2928180624215614,1975226368.0,4600.0,1
60,2026-01-02 00:19:43,4,606.0,55250.18,0.527300261514849,2368831488.0,4600.0,1
60,2026-01-04 10:50:15,69,592.0,45238.19,0.1768367845908677,1683222528.0,4600.0,1
60,2026-01-02 00:19:43,4,606.0,55250.18,0.527300261514849,2368831488.0,4600.0,1
60,2026-01-02 19:32:44,22,600.0,39277.43,0.6854230944766948,3242655744.0,4600.0,1
60,2026-01-03 22:07:04,46,603.0,33816.03,0.3019259256245991,2125680640.0,4600.0,1
60,2026-01-02 19:31:44,22,547.0,25263.88,0.3742053323816153,3218419712.0,4600.0,1
60,2026-01-04 11:23:56,70,581.0,54798.39,0.1704822862196598,1480437760.0,4600.0,1
60,2026-01-04 04:02:45,57,604.0,34585.33,0.3055289345192583,2108325888.0,4600.0,1
60,2026-01-04 04:35:29,58,600.0,34584.75,0.3266721118515781,2023772160.0,4600.0,1
60,2026-01-04 04:02:45,57,604.0,34585.33,0.3055289345192583,2108325888.0,4600.0,1
60,2026-01-03 22:27:04,46,575.0,55907.89,0.19439332983972,1793036288.0,4600.0,1
60,2026-01-01 23:55:01,3,618.0,43301.39,0.575507838572171,2657701888.0,4600.0,1
